"","tweet","date","lat","lon","isretweet","retweeted","retweetcount","favoritecount","favorited","score"
"42","@GenessaFink @MailOnline ...so they're a transgender couple?","2016-09-23 19:17:32",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"43","Maybe Colin would salute is we changed the words to
 the land of Black ISIS
&amp; the home of the transgender sensitive","2016-09-23 16:56:33",NA,NA,"FALSE","FALSE","0","1","FALSE",2
"44","The #TSA needs to sort their ish out!! Sorry Kristin! - #Transgender former Navy SEAL says TSA humiliated her @CNNI https://t.co/blqMn8szoH","2016-09-23 19:20:37",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"45","Nonprofit: Chelsea Manning Faces Two Weeks in Solitary: A transgender soldier imprisoned in Kansas for ... https://t.co/uWtGrorle2 #army","2016-09-23 19:02:49",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"46","RT @TransgenderSoul: Matt Bomer and Men Who Play Transgender Women Send a ""Toxic and Dangerous"" Message  https://t.co/bSgly3Funq https://t.‚Ä¶","2016-09-23 14:45:00",NA,NA,"TRUE","FALSE","2","0","FALSE",-2
"47","Chelsea Manning sentenced to 14 days in solitary confinement following suicide attempt-Brilliant BOP, just brilliant https://t.co/nWdkMVwPpq","2016-09-23 17:45:02",NA,NA,"FALSE","FALSE","1","1","FALSE",0
"48","Transgender former Navy SEAL says TSA humiliated her https://t.co/n90NB01D7D","2016-09-22 10:45:47",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"49","Nonprofit: Chelsea Manning Faces Two Weeks in Solitary: A transgender soldier imprisoned in Kansas for ... https://t.co/uWtGrorle2 #army","2016-09-23 19:02:49",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"50","Taxpayer-funded treatment could render ‚Äòtransgender‚Äô 8-year-olds sterile for life | News | LifeSite https://t.co/fL6K9x70bI","2016-09-23 19:07:05",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"51","RT @antoniodelotero: how about you just say ""transgender couple has a child"" https://t.co/ZVzyl1MQzf","2016-09-23 19:24:29",NA,NA,"TRUE","FALSE","233","0","FALSE",0
"52","The baby born to a man who was a woman who got pregnant by a woman who was a... https://t.co/LEbrFrltrB by @neur0atypical via @c0nvey","2016-09-23 19:16:25",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"53","RT @_amandaadams: @blkem0 @DammitMarkus transgender women are women.. no one is discrediting their womanhood or femininity but female is th‚Ä¶","2016-09-23 19:19:52",NA,NA,"TRUE","FALSE","1","0","FALSE",0
"54","Nonprofit: Chelsea Manning Faces Two Weeks in Solitary: A transgender soldier imprisoned in Kansas for ... https://t.co/uWtGrorle2 #army","2016-09-23 19:02:49",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"55","Despite the negative impact of #HB2, @jimmorrill says it has, fortunately, ""brought transgender people into the light."" #DukeSatireFest","2016-09-23 19:02:28",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"56","RT @HollyGoNightly1: Could've saved this bullshit and wrote ""transgender couple has child"".  Y'all are trash. https://t.co/LKx71reRwU","2016-09-23 19:25:08",NA,NA,"TRUE","FALSE","707","0","FALSE",-2
"57","What you're seeing in Charlotte right now is obviously what happens when transgender people can't use the bathroom.","2016-09-22 03:54:46",NA,NA,"FALSE","FALSE","58","141","FALSE",1
"58","We are new social media for all transgender people. @transgender blog, chat, forum.  Weekly fashion tips at https://t.co/bExgDnYIyO","2016-09-23 19:15:54",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"59","RT @margar45: Will this Mississippi murder be the first federal hate crime with a transgender victim?, @sunherald https://t.co/xGatKIrt9D","2016-09-23 19:20:38",NA,NA,"TRUE","FALSE","3","0","FALSE",-3
"60","Kellie Maloney, former boxing manager of Lennox Lewis to speak at transgender conference https://t.co/ElYvxyrhg3","2016-09-20 18:45:17",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"61","That black transgender clairol model Ì†ΩÌ¥•","2016-09-23 17:45:10",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"62","Taxpayer-funded treatment could render ‚Äòtransgender‚Äô 8-year-olds sterile for life | News | LifeSite https://t.co/fL6K9x70bI","2016-09-23 19:07:05",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"63","They could've just said ""transgender couple has a child"" lmaoooo","2016-09-23 18:55:24",NA,NA,"FALSE","FALSE","0","1","FALSE",0
"64","@blkem0 @DammitMarkus transgender women are women.. no one is discrediting their womanhood or femininity but female is the incorrect term.","2016-09-23 19:19:34",NA,NA,"FALSE","FALSE","1","1","FALSE",-1
"65","RT @HollyGoNightly1: Could've saved this bullshit and wrote ""transgender couple has child"".  Y'all are trash. https://t.co/LKx71reRwU","2016-09-23 19:22:28",NA,NA,"TRUE","FALSE","698","0","FALSE",-2
"66","RT @HollyGoNightly1: Could've saved this bullshit and wrote ""transgender couple has child"".  Y'all are trash. https://t.co/LKx71reRwU","2016-09-23 19:22:28",NA,NA,"TRUE","FALSE","700","0","FALSE",-2
"67","RT @MeerimKG: Discrimination Against Transgender Women in Cambodia‚Äôs Urban Centers https://t.co/obsMp6DPkJ","2016-09-23 19:18:21",NA,NA,"TRUE","FALSE","1","0","FALSE",-1
"68","RT @TransgenderSoul: Matt Bomer and Men Who Play Transgender Women Send a ""Toxic and Dangerous"" Message  https://t.co/bSgly3Funq https://t.‚Ä¶","2016-09-23 14:45:00",NA,NA,"TRUE","FALSE","2","0","FALSE",-2
"69","RT @MeerimKG: Discrimination Against Transgender Women in Cambodia‚Äôs Urban Centers https://t.co/obsMp6DPkJ","2016-09-23 19:18:21",NA,NA,"TRUE","FALSE","1","0","FALSE",-1
"70","RT @jsamueledwards1: Framing The Transgender Reality For Mormons https://t.co/xednwn6EON is an important resource to help educate LDS frien‚Ä¶","2016-09-23 18:59:50",NA,NA,"TRUE","FALSE","1","0","FALSE",1
"71","The baby born to a man who was a woman who got pregnant by a woman who was a... https://t.co/YAPHfxrVIv by @TemporaryHold via @c0nvey","2016-09-23 18:17:36",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"72","RT @HollyGoNightly1: Could've saved this bullshit and wrote ""transgender couple has child"".  Y'all are trash. https://t.co/LKx71reRwU","2016-09-23 19:23:21",NA,NA,"TRUE","FALSE","701","0","FALSE",-2
"73","RT @SPINDLER666: Transgender couple has child** https://t.co/Hxg9fgtsb9","2016-09-23 19:17:21",NA,NA,"TRUE","FALSE","100","0","FALSE",0
"74","InsideOut T-shirt RANT: I'm TRANSGENDER WITH CANCER ...WTF... https://t.co/xDBTJypdSM","2016-09-23 19:04:25",NA,NA,"FALSE","FALSE","0","0","FALSE",-2
"75","@TheOnion  Truth is killing your routine https://t.co/4kK3YMLkFP","2016-09-23 16:36:27",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"76","Nonprofit: Chelsea Manning Faces Two Weeks in Solitary: A transgender soldier imprisoned in Kansas for ... https://t.co/hOxPObQe1Q #army","2016-09-23 19:03:00",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"77","Nonprofit: Chelsea Manning Faces Two Weeks in Solitary: A transgender soldier imprisoned in K... https://t.co/gr5IjcGHwF #military #army","2016-09-23 19:02:44",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"78","Matt Bomer and Men Who Play Transgender Women Send a ""Toxic and Dangerous"" Message  https://t.co/bSgly3Funq https://t.co/usA3L2ljzf","2016-09-23 14:43:26",NA,NA,"FALSE","FALSE","2","2","FALSE",-2
"79","Throwing a medical lifeline to the transgender community https://t.co/dPcG9UiQbU","2016-09-23 16:08:26",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"80","@shanedawson @MsBlaireWhite @mileysrcyrs they hate her because they hate transgender conservatives","2016-09-20 22:43:56",NA,NA,"FALSE","FALSE","0","1","FALSE",-2
"81","Nonprofit: Chelsea Manning Faces Two Weeks in Solitary: A transgender soldier imprisoned in K... https://t.co/gr5IjcGHwF #military #army","2016-09-23 19:02:44",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"82","@4nnakitty @nutellaANDpizza @MailOnline nah that baby will be smart enough to know that their transgender parents made them Ì†æÌ¥óÌ†æÌ¥óÌ†æÌ¥óÌ†æÌ¥ó","2016-09-23 18:43:50",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"83","RT @antoniodelotero: how about you just say ""transgender couple has a child"" https://t.co/ZVzyl1MQzf","2016-09-23 19:24:19",NA,NA,"TRUE","FALSE","233","0","FALSE",0
"84","Why not just call them transgender? Why erase who they are? Tired of erasure. https://t.co/RRRACPvTS5","2016-09-23 18:19:28",NA,NA,"FALSE","FALSE","0","1","FALSE",-2
"85","@blkem0 @DammitMarkus transgender women are women.. no one is discrediting their womanhood or femininity but female is the incorrect term.","2016-09-23 19:19:34",NA,NA,"FALSE","FALSE","1","1","FALSE",-1
"86","Nonprofit: Chelsea Manning Faces Two Weeks in Solitary: A transgender soldier imprisoned in K... https://t.co/gr5IjcGHwF #military #army","2016-09-23 19:02:44",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"87","The transgender soldier reportedly is being punished for a suicide attempt at Fort Leavenworth. https://t.co/bw8OjHZ2ET","2016-09-23 19:01:16",NA,NA,"FALSE","FALSE","0","1","FALSE",-1
"88","RT @HollyGoNightly1: Could've saved this bullshit and wrote ""transgender couple has child"".  Y'all are trash. https://t.co/LKx71reRwU","2016-09-23 19:24:46",NA,NA,"TRUE","FALSE","707","0","FALSE",-2
"89","Ì†æÌ¥ñ MN Christians want transgender people to ""ask them first"" before using the bathroom 
https://t.co/DcqUeLlTDd","2016-09-20 15:07:45",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"90","Christian Heritage Party sues City of Hamilton over removal of transgender ads ‚Äì The group will argue in court ... https://t.co/WcwW1MDoQ9","2016-09-23 19:15:34",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"91","The #TSA needs to sort their ish out!! Sorry Kristin! - #Transgender former Navy SEAL says TSA humiliated her @CNNI https://t.co/blqMn8szoH","2016-09-23 19:20:37",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"92","""Blackness troubles gender ... Blackness makes for gender trouble."" https://t.co/EGS2zVegA3 https://t.co/3oqQn8PYVH","2016-09-20 07:07:15",NA,NA,"FALSE","FALSE","0","1","FALSE",-2
"93","Female lions will grow manes and mount other females if their testosterone is too high. Transgender lions.  Pretty cool.","2016-09-23 17:35:36",NA,NA,"FALSE","FALSE","0","3","FALSE",2
"94","RT @KUNDALINl: this is why we use the term transgender because this headline was extra https://t.co/s91QbvcSZW","2016-09-23 18:52:32",NA,NA,"TRUE","FALSE","7","0","FALSE",0
"95","I am proud to announce that I will officially be running for homecoming King &amp; Queen, because it is in my transgender rights as an American!","2016-09-23 18:33:56",NA,NA,"FALSE","FALSE","9","21","FALSE",1
"96","#GOP mindset: we love #America but hate Americans. 

#ImWithHer 
#UniteBlue 
#immigration 
#Latino 
#lgbtq 
#Muslim 
#transgender 
#LoveWins","2016-09-23 18:30:22",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"97","RT @HollyGoNightly1: Could've saved this bullshit and wrote ""transgender couple has child"".  Y'all are trash. https://t.co/LKx71reRwU","2016-09-23 19:21:59",NA,NA,"TRUE","FALSE","700","0","FALSE",-2
"98","RT @HollyGoNightly1: Could've saved this bullshit and wrote ""transgender couple has child"".  Y'all are trash. https://t.co/LKx71reRwU","2016-09-23 19:21:59",NA,NA,"TRUE","FALSE","700","0","FALSE",-2
"99","@Dot_Moe lmao!! They both are transgender","2016-09-23 19:18:05",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"100","Matt Bomer and Men Who Play Transgender Women Send a ""Toxic and Dangerous"" Message  https://t.co/bSgly3Funq https://t.co/usA3L2ljzf","2016-09-23 14:43:26",NA,NA,"FALSE","FALSE","2","2","FALSE",-2
"101","@Dot_Moe lmao!! They both are transgender","2016-09-23 19:18:05",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"102","@MamaDragons It seems like the LDS Church needs more of an education on Transgender realities than I thought. I hop‚Ä¶ https://t.co/k1ZiIUgpYa","2016-09-23 18:59:38",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"103","@HoesephStalin her Persona's inspiration is believed to be written as transgender.","2016-09-23 18:10:20",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"104","RT @HollyGoNightly1: Could've saved this bullshit and wrote ""transgender couple has child"".  Y'all are trash. https://t.co/LKx71reRwU","2016-09-23 19:23:08",NA,NA,"TRUE","FALSE","701","0","FALSE",-2
"105","RT @SPINDLER666: Transgender couple has child** https://t.co/Hxg9fgtsb9","2016-09-23 19:13:25",NA,NA,"TRUE","FALSE","100","0","FALSE",0
"106","RT @RileyJayDennis: how to have a girl's body: identify as a girl

how to have a boy's body: identify as a boy

this has been your Transgen‚Ä¶","2016-09-23 19:02:27",NA,NA,"TRUE","FALSE","273","0","FALSE",0
"107","RT @statepress: Breakdowns and breakthroughs of a transgender student @ASU
https://t.co/aDztBhdYpG
via @shawnatruong_ https://t.co/t2OirZn5‚Ä¶","2016-09-23 16:19:40",NA,NA,"TRUE","FALSE","2","0","FALSE",1
"108","Nonprofit: Chelsea Manning Faces Two Weeks in Solitary: A transgender soldier imprisoned in Kansas for ... https://t.co/4KPnYRO7W6 #army","2016-09-23 19:02:47",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"109","LEAVENWORTH, Kan. (AP) ‚Äì A nonprofit group says a transgender soldier imprisoned in Kansas for leaking classified information faces u...","2016-09-23 18:10:57",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"110","Transgender porn is the 4th most popular category of porn and straight men are the primary consumers. #weseeyou #kinky #rappitup","2016-09-23 08:30:50",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"111","Judge to rule soon in Ohio case over transgender directive https://t.co/nrtczASE8m","2016-09-23 14:53:36",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"112","""Blackness troubles gender ... Blackness makes for gender trouble."" https://t.co/EGS2zVegA3 https://t.co/3oqQn8PYVH","2016-09-20 07:07:15",NA,NA,"FALSE","FALSE","0","1","FALSE",-2
"113","LEAVENWORTH, Kan. (AP) ‚Äì A nonprofit group says a transgender soldier imprisoned in Kansas for leaking classified information faces u...","2016-09-23 18:10:57",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"114","@MikeElChingon let me make it easy for you. A transgender couple had a baby Ì†æÌ¥ó you're welcome.","2016-09-23 18:39:12",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"115","RT @antoniodelotero: how about you just say ""transgender couple has a child"" https://t.co/ZVzyl1MQzf","2016-09-23 19:24:17",NA,NA,"TRUE","FALSE","233","0","FALSE",0
"116","How about saying ""baby born to a transgender couple"" for simplicity? -.- https://t.co/dlHZglpacN","2016-09-23 17:26:18",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"117","Nonprofit: Chelsea Manning Faces Two Weeks in Solitary: A transgender soldier imprisoned in Kansas for ... https://t.co/hOxPObQe1Q #army","2016-09-23 19:03:00",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"118","No, I don't I have problems with transgender, but this bitch just irks my soul so much.","2016-09-23 18:39:03",NA,NA,"FALSE","FALSE","0","1","FALSE",-3
"119","@Brock_toon @jbphebus @Cato_of_Utica It's like Mother Theresa always said, transgender people should have civil rights","2016-09-23 18:55:18",NA,NA,"FALSE","FALSE","0","2","FALSE",1
"120","RT @HollyGoNightly1: Could've saved this bullshit and wrote ""transgender couple has child"".  Y'all are trash. https://t.co/LKx71reRwU","2016-09-23 19:24:31",NA,NA,"TRUE","FALSE","707","0","FALSE",-2
"121","This is the Cleveland Aquarium's solution to #transgender bathroom issues.  I applaud the creativity. https://t.co/uksEDkhiG5","2016-09-20 12:39:55",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"122","7 Transgender Celebrities That Will Amaze And Inspire You https://t.co/JCapN66lXF &gt;","2016-09-23 19:13:29",NA,NA,"FALSE","FALSE","0","0","FALSE",2
"123","@MattWalshBlog Alas, The (Brave) New World in which we live ... https://t.co/b8Y5uh4YhT","2016-09-23 19:20:06",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"124","""The bathroom with its gender-binary regime ... is one of the signatures of the afterlife of slavery."" https://t.co/eTtgC5vShz","2016-09-19 08:11:45",NA,NA,"FALSE","FALSE","1","0","FALSE",0
"125","Throwing a medical lifeline to the transgender community https://t.co/1QL90KLURb","2016-09-23 16:10:31",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"126","Please tell me why the fucc I had to go to the office to fill out a ""transgender student sheet"" only to be called ma'am by the counselor.","2016-09-23 18:49:39",NA,NA,"FALSE","FALSE","0","1","FALSE",0
"127","Throwing a medical lifeline to the transgender community https://t.co/ByICLbyjNZ via @CNET","2016-09-23 18:09:43",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"128","How hard was it to say a transgender couple had a baby? Lmao.","2016-09-23 17:42:37",NA,NA,"FALSE","FALSE","0","2","FALSE",-1
"129","@NBCNews like 2 see that 20% stand behind him when he repeals same sex marriage, rights 4 transgender n passes bill‚Ä¶ https://t.co/mSlt8Af9j0","2016-09-23 19:21:23",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"130","@NBCNews like 2 see that 20% stand behind him when he repeals same sex marriage, rights 4 transgender n passes bill‚Ä¶ https://t.co/mSlt8Af9j0","2016-09-23 19:21:23",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"131","Boomers Wonder abt Words Like Transgender and Sex Reassignment Surgery https://t.co/6myUdE1HJN","2016-09-23 19:17:30",NA,NA,"FALSE","FALSE","0","0","FALSE",2
"132","Transgender porn is the 4th most popular category of porn and straight men are the primary consumers. #weseeyou #kinky #rappitup","2016-09-23 08:30:50",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"133","Boomers Wonder abt Words Like Transgender and Sex Reassignment Surgery https://t.co/6myUdE1HJN","2016-09-23 19:17:30",NA,NA,"FALSE","FALSE","0","0","FALSE",2
"134","RT @JYezman: AMERICAN TRANSGENDER YOUTH ARE HAVING 
 A TRAUMA. https://t.co/sjxWskMSyd","2016-09-23 18:49:03",NA,NA,"TRUE","FALSE","5","0","FALSE",-1
"135","Throwing a medical lifeline to the transgender community https://t.co/ByICLbyjNZ via @CNET","2016-09-23 18:09:43",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"136","RT @HollyGoNightly1: Could've saved this bullshit and wrote ""transgender couple has child"".  Y'all are trash. https://t.co/LKx71reRwU","2016-09-23 19:22:39",NA,NA,"TRUE","FALSE","701","0","FALSE",-2
"137","RT @SPINDLER666: Transgender couple has child** https://t.co/Hxg9fgtsb9","2016-09-23 19:12:54",NA,NA,"TRUE","FALSE","100","0","FALSE",0
"138","#transgender @VegasChicas @JaxGlam @assffandy Meet me in Vegas! :P https://t.co/0cBCLjKSp0","2016-09-23 18:58:03",NA,NA,"FALSE","FALSE","1","2","FALSE",0
"139","RT @statepress: Breakdowns and breakthroughs of a transgender student @ASU
https://t.co/aDztBhdYpG
via @shawnatruong_ https://t.co/t2OirZn5‚Ä¶","2016-09-23 16:17:09",NA,NA,"TRUE","FALSE","2","0","FALSE",1
"140","God did not create people to be homosexual,  bisexual,  or transgender. Culture is telling a lie that it is acceptable.","2016-09-23 18:59:53",NA,NA,"FALSE","FALSE","0","1","FALSE",-1
"141","The baby born to a man who was a woman who got pregnant by a woman who was a man https://t.co/MvDK9VfmcJ ... by @Laura_DDE_ via @c0nvey","2016-09-23 17:11:50",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"142","Elgin schools' top admin stands firmly by district's decision to allow locker room access to transgender student https://t.co/QHspyOMUwI","2016-09-23 03:59:48",NA,NA,"FALSE","FALSE","0","2","FALSE",1
"143","Throwing a medical lifeline to the transgender community https://t.co/zVDpb5U6zs","2016-09-23 14:14:10",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"144","""The bathroom with its gender-binary regime ... is one of the signatures of the afterlife of slavery."" https://t.co/eTtgC5vShz","2016-09-19 08:11:45",NA,NA,"FALSE","FALSE","1","0","FALSE",0
