"","tweet","date","lat","lon","isretweet","retweeted","retweetcount","favoritecount","favorited","score"
"60","Modern Family Will Feature First Openly Transgender Child Actor On TV! https://t.co/0vTsD8rebn","2016-09-27 07:57:42",NA,NA,"FALSE","FALSE","0","0","FALSE",2
"61","RT @julesp11: I don't care if you're transgender, I don't care if you're gay. Stay the hell off me, we'll be alright. What cows are we movi‚Ä¶","2016-09-27 21:27:15",NA,NA,"TRUE","FALSE","2","0","FALSE",0
"62","RT @WDSM710: Wausau school board to hold transgender bathrooms meeting  https://t.co/Crjw6ohA1l https://t.co/ZUOlaPZTQ4","2016-09-27 22:13:42",NA,NA,"TRUE","FALSE","1","0","FALSE",0
"63","Your mom is an openly transgender child actor.","2016-09-27 21:43:21",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"64","Highland school district appeals transgender ruling https://t.co/gbVf137vQR","2016-09-27 22:28:46",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"65","RT @mic: The next episode of 'Modern Family' will feature TV's first openly transgender child actor: https://t.co/H0EJeznCsK","2016-09-27 22:31:05",NA,NA,"TRUE","FALSE","12","0","FALSE",2
"66","Transgender patients face fear and stigma in the doctor's office https://t.co/Jqr2AkYYWC via @ReutersIndia","2016-09-27 22:34:00",NA,NA,"FALSE","FALSE","0","0","FALSE",-2
"67","RT @TransLawCenter: #ModernFamily makes history with first trans child actor in scripted network TV show. https://t.co/uQQyAzT4qn https://t‚Ä¶","2016-09-27 22:32:26",NA,NA,"TRUE","FALSE","1","0","FALSE",0
"68","On Wednesday night, Modern Family will become the first television show to feature a transgender child actor. https://t.co/tI8PZfbDzX","2016-09-27 20:56:39",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"69","RT @TransLawCenter: #ModernFamily makes history with first trans child actor in scripted network TV show. https://t.co/uQQyAzT4qn https://t‚Ä¶","2016-09-27 22:32:26",NA,NA,"TRUE","FALSE","1","0","FALSE",0
"70","RT @BanarMaura: D.C. Will Fine You For Calling A Transgender Person The ‚ÄòWrong‚Äô Pronouns https://t.co/NktG31bW09 via @dailycaller","2016-09-27 22:19:39",NA,NA,"TRUE","FALSE","2","0","FALSE",0
"71","#ifcelebswereinhighschool
-head of the PTA
-dresses nice
-the reason cafeteria food taste like shit
-put transgende‚Ä¶ https://t.co/6OsASljpmB","2016-09-27 21:48:44",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"72","When the copay for wisdom tooth surgery is $1,700 and the copay for transgender top surgery is $75... Why?","2016-09-27 22:38:47",NA,NA,"FALSE","FALSE","0","0","FALSE",2
"73","RT @TRANZGENDR: Why We Can't Afford the Protest Vote

https://t.co/wtIGZoeHYJ

#transgender #lgbt #lgbtq #girlslikeus #imwithher https://t.‚Ä¶","2016-09-27 22:30:14",NA,NA,"TRUE","FALSE","4","0","FALSE",0
"74","RT @TakePart: A transgender immigrant is challening a state law that prohibits noncitizens from changing their legal names. https://t.co/zB‚Ä¶","2016-09-27 22:29:12",NA,NA,"TRUE","FALSE","2","0","FALSE",0
"75","RT @dmcrane: The real human cost of Republicans targeting transgender kids https://t.co/Qs1wHD4LyJ","2016-09-27 21:27:24",NA,NA,"TRUE","FALSE","2","0","FALSE",0
"76","RT @splcenter: Of 112,000 transgender people estimated eligible to vote, 34,000 may face barriers in November due to strict ID laws https:/‚Ä¶","2016-09-27 22:24:58",NA,NA,"TRUE","FALSE","36","0","FALSE",-1
"77","As an fyi, I was held at the border and forced  to ""prove who I am"" this weekend. Here's the video.. https://t.co/yz3zKlnjzc #transgender","2016-09-27 21:03:55",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"78","On Wednesday night, Modern Family will become the first television show to feature a transgender child actor. https://t.co/tI8PZfbDzX","2016-09-27 20:56:39",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"79","'Modern Family' casts transgender child actor https://t.co/amTfEa78Th","2016-09-27 18:08:16",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"80","Will the Supreme Court simply duck the transgender bathroom issue? https://t.co/PHAA0he0ML is it so hard for you to get its a he.","2016-09-26 17:25:25",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"81","As an fyi, I was held at the border and forced  to ""prove who I am"" this weekend. Here's the video.. https://t.co/yz3zKlnjzc #transgender","2016-09-27 21:03:55",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"82","Suicidal transgender boy faced discrimination in hospital: suit https://t.co/5Ls7X2szMB #MGWV #TFB #F4F","2016-09-27 22:25:03",NA,NA,"FALSE","FALSE","0","0","FALSE",-2
"83","TV's first transgender child actor cast in US sitcom","2016-09-27 22:34:24",NA,NA,"FALSE","FALSE","0","1","FALSE",0
"84","Transgender movement by zionist lie! 8yr old Trans actor. Only 00.03% Identify by Trans #MKultra #USA is shameful https://t.co/IyMFGYdDUY","2016-09-27 19:37:18",NA,NA,"FALSE","FALSE","1","0","FALSE",-2
"85","RT @TheTruth24US: Ohio judge orders girls"" bathroom access for transgender student #D27 https://t.co/BmsxK9cYKl","2016-09-27 22:08:51",NA,NA,"TRUE","FALSE","1","0","FALSE",0
"86","RT @ProphetPX: .@JanetMefferd RE: your show on #TRANSGENDER today: 
Homosexuality, Gender Confusion, and the Spirit of Baphomet https://t.c‚Ä¶","2016-09-27 21:54:46",NA,NA,"TRUE","FALSE","1","0","FALSE",-1
"87","RT @CarGriffeth: Read more about Wake County's Sheriff calling for school policies on transgender bathroom use @WNCN 
https://t.co/n4sN9I0L‚Ä¶","2016-09-27 22:30:06",NA,NA,"TRUE","FALSE","1","0","FALSE",0
"88",".@ModernFam becomes the first tv show to feature a transgender child actor with 8-year-old Jackson Millarker https://t.co/EtN1pUmHFC","2016-09-27 22:44:00",NA,NA,"FALSE","FALSE","2","1","FALSE",0
"89","Will this Mississippi murder be the first federal hate crime with a transgender victim?

https://t.co/6p0F7zgwec https://t.co/T2ihOT3ugl","2016-09-24 21:00:33",NA,NA,"FALSE","FALSE","0","1","FALSE",-3
"90","@NBCNews there is no such thing as a transgender child. Transitioning is a life-altering permanent decision that kids are not fit to make.","2016-09-27 22:28:11",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"91","""You look like a boy."" Thanks for the reminder. That's kinda what I was going for Ì†ΩÌ∏ÇI am transgender lol","2016-09-27 19:49:11",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"92","Really good article on this issue: Pledging change: the transgender college students integrating Greek life https://t.co/1nppeqhIf4","2016-09-26 15:33:25",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"93","Bad-Ass Transgender Student Took His Transphobic School To Court https://t.co/d5r0jtVFXA via @PopResistance","2016-09-27 20:51:43",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"94","Wausau school board to hold transgender bathrooms meeting  https://t.co/Crjw6ohA1l https://t.co/ZUOlaPZTQ4","2016-09-27 22:07:09",NA,NA,"FALSE","FALSE","1","0","FALSE",0
"95","RT @GuideLive: Transgender child actor to guest star on @modernfamilytv Wednesday night https://t.co/tsKz9jHmI1 https://t.co/C4c07oj2HR","2016-09-27 21:20:30",NA,NA,"TRUE","FALSE","1","0","FALSE",0
"96","7 Hottest Transgender People Who Are Ruling Modeling Industry https://t.co/KXRbUAkC7H","2016-09-27 22:08:17",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"97","RT @intelligencer: Ohio Judge Upholds Federal Guidelines for Transgender Students https://t.co/RkifJXSCZd","2016-09-27 22:30:21",NA,NA,"TRUE","FALSE","13","0","FALSE",0
"98","""Unlimited Courage"" -It was a diverse process. They were looking for MY story not filling a role for a transgender‚Ä¶ https://t.co/ZAantovsd4","2016-09-27 22:31:57",NA,NA,"FALSE","FALSE","0","0","FALSE",2
"99","#ModernFamily makes history with first trans child actor in scripted network TV show. https://t.co/uQQyAzT4qn https://t.co/VhXE7x33hY","2016-09-27 22:31:23",NA,NA,"FALSE","FALSE","1","4","FALSE",0
"100","10 Rules You Should Follow Before Dating A Transgender Woman https://t.co/kGHH5oMN2e","2016-09-27 19:45:41",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"101","#ModernFamily makes history with first trans child actor in scripted network TV show. https://t.co/uQQyAzT4qn https://t.co/VhXE7x33hY","2016-09-27 22:31:23",NA,NA,"FALSE","FALSE","1","4","FALSE",0
"102","RT @1025TheBone: ""Modern Family"" casting first transgender.
https://t.co/9Xk732CaKe","2016-09-27 22:05:14",NA,NA,"TRUE","FALSE","2","0","FALSE",1
"103","RT @lmcgaughy: Texas detention center that will hold #transgender migrants stands at the nation's cultural crossroads wars.https://t.co/xZ9‚Ä¶","2016-09-27 21:44:35",NA,NA,"TRUE","FALSE","6","0","FALSE",0
"104","Transgender patients face fear and stigma in the doctor's office https://t.co/Jqr2AkYYWC via @ReutersIndia","2016-09-27 22:34:00",NA,NA,"FALSE","FALSE","0","0","FALSE",-2
"105","@homonationalism like. kflnklg. fucking. transgender isn't a gender, nor is cis, you are mistaking what these words mean lmfao","2016-09-27 22:21:29",NA,NA,"FALSE","FALSE","0","1","FALSE",0
"106","RT @MarcSnetiker: If you love someone whom Trump considers on the fringe of society‚Äîsomeone female or gay or black or Latino or Asian or tr‚Ä¶","2016-09-27 22:26:27",NA,NA,"TRUE","FALSE","1020","0","FALSE",2
"107","RT @dmcrane: The real human cost of Republicans targeting transgender kids https://t.co/Qs1wHD4LyJ","2016-09-27 21:26:56",NA,NA,"TRUE","FALSE","2","0","FALSE",0
"108","RT @splcenter: Of 112,000 transgender people estimated eligible to vote, 34,000 may face barriers in November due to strict ID laws https:/‚Ä¶","2016-09-27 22:23:29",NA,NA,"TRUE","FALSE","36","0","FALSE",-1
"109",".@JanetMefferd RE: your show on #TRANSGENDER today: 
Homosexuality, Gender Confusion, and the Spirit of Baphomet https://t.co/teVotPlCA8","2016-09-27 20:41:42",NA,NA,"FALSE","FALSE","1","2","FALSE",-1
"110","10 Rules You Should Follow Before Dating A Transgender Woman https://t.co/kGHH5oMN2e","2016-09-27 19:45:41",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"111","I had a dream that Harry Styles was in a new movie. His role was a transgender male....he killed itÌ†ΩÌ±åÌ†ºÌøºÌ†ΩÌ±èÌ†ºÌøºÌ†ΩÌ≤ØÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç","2016-09-27 18:07:04",NA,NA,"FALSE","FALSE","0","1","FALSE",0
"112","Really good article on this issue: Pledging change: the transgender college students integrating Greek life https://t.co/1nppeqhIf4","2016-09-26 15:33:25",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"113",".@JanetMefferd RE: your show on #TRANSGENDER today: 
Homosexuality, Gender Confusion, and the Spirit of Baphomet https://t.co/teVotPlCA8","2016-09-27 20:41:42",NA,NA,"FALSE","FALSE","1","2","FALSE",-1
"114","RT @gerfingerpoken2: N. C. Correct. Transgender Restrooms Not Civil Right - American Thinker - https://t.co/OoktTwgWbI #PJNET 888 - https:/‚Ä¶","2016-09-27 22:12:27",NA,NA,"TRUE","FALSE","3","0","FALSE",2
"115","RT @gerfingerpoken2: N. C. Correct. Transgender Restrooms Not Civil Right - American Thinker - https://t.co/OoktTwgWbI #PJNET 888 - https:/‚Ä¶","2016-09-27 22:12:27",NA,NA,"TRUE","FALSE","3","0","FALSE",2
"116","RT @1059KNRS: Modern Family First Show With Transgender Kid Actor https://t.co/bfZLwPsDpm https://t.co/TkYWHqbtvm","2016-09-27 18:51:17",NA,NA,"TRUE","FALSE","1","0","FALSE",1
"117","Ohio judge orders girls"" bathroom access for transgender student #D27 https://t.co/BmsxK9cYKl","2016-09-27 22:08:51",NA,NA,"FALSE","FALSE","1","0","FALSE",0
"118","Grandmother speaks to 303 board about transgender students Read it Wednesday in the Pekin Daily Times. https://t.co/n55IGIa1xm","2016-09-27 21:35:16",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"119","Read more about Wake County's Sheriff calling for school policies on transgender bathroom use @WNCN 
https://t.co/n4sN9I0Lfw","2016-09-27 22:29:47",NA,NA,"FALSE","FALSE","1","1","FALSE",0
"120","RT @transformwa: #Transgender people are retirees, like Cheryl. https://t.co/Xrb9UOTqxK #transformwa #LGBTQ https://t.co/LH7Jvtpjzq","2016-09-27 22:43:47",NA,NA,"TRUE","FALSE","2","0","FALSE",1
"121","Is the Transgender Bathroom Law Debate Affecting Businesses? You Bet https://t.co/kZkeqXLJee (via @InsideCounsel) #idleg","2016-09-23 18:34:51",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"122","RT @OnTopMag: 'Modern Family' Episode To Feature Transgender Child Actor https://t.co/BK231CyQSa .@modernfam #lgbt","2016-09-27 22:19:10",NA,NA,"TRUE","FALSE","3","0","FALSE",1
"123","Transgender prom king may use boys' restroom, for now #LGBTQyouth @NolaLGBT https://t.co/gFMdNjiYHn","2016-09-27 19:30:06",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"124","Transgender women refused entry at Hong Kong International Airport https://t.co/ZQI38zBqKj","2016-09-26 07:10:35",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"125","What's New #Omaha: ""Modern Family First Show With Transgender Kid Actor"" https://t.co/kQdPB31Clq","2016-09-27 18:08:06",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"126","RT @birdybabbles: AYYO TWIT FAM: know any good YOUNG ADULT books with a transgender protagonist?  Teacher asking.  [plz rt]","2016-09-27 21:48:01",NA,NA,"TRUE","FALSE","38","0","FALSE",1
"127","At 8 we couldn't even go that far up the street how tf you transgender? 8 year olds don't even know what that means","2016-09-27 21:10:07",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"128","RT @AuthorPailinJay: ‚Ä¢ Pailin Jay: LGBT love story with M/M transgender romance #LGBT #Romance https://t.co/gJjKJpr7LN https://t.co/JCVip4U‚Ä¶","2016-09-27 21:47:57",NA,NA,"TRUE","FALSE","1","0","FALSE",1
"129","RT @PageSix: ""Modern Family"" casts a transgender child actor https://t.co/8Vnlo6klVW https://t.co/QahroXBiB7","2016-09-27 22:30:08",NA,NA,"TRUE","FALSE","2","0","FALSE",1
"130","Alicia Oeser asks about gender non-conforming and transgender people at a talk about gender‚Ä¶ https://t.co/kWaA4iexGF","2016-09-27 22:31:36","42.37097","-71.12174","FALSE","FALSE","0","1","FALSE",0
"131","The real human cost of Republicans targeting transgender kids https://t.co/WYAbO7p9VL","2016-09-27 22:30:33",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"132","this guy is saying how he hates gay guys but yet his girl in transgenderÌ†æÌ¥îÌ†æÌ¥î","2016-09-27 19:43:36",NA,NA,"FALSE","FALSE","0","1","FALSE",0
"133","The real human cost of Republicans targeting transgender kids https://t.co/WYAbO7p9VL","2016-09-27 22:30:33",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"134","""Modern Family"" casting first transgender.
https://t.co/9Xk732CaKe","2016-09-27 22:04:37",NA,NA,"FALSE","FALSE","2","0","FALSE",1
"135","Your mom is an openly transgender child actor.","2016-09-27 21:43:21",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"136","""Unlimited Courage"" -It was a diverse process. They were looking for MY story not filling a role for a transgender‚Ä¶ https://t.co/ZAantovsd4","2016-09-27 22:31:57",NA,NA,"FALSE","FALSE","0","0","FALSE",2
"137","RT @TRANZGENDR: 6 Things Americans Should Know About Mass Shootings
https://t.co/r4qCH5Pe4P

#orlando #lgbtq #lgbt #transgender https://t.c‚Ä¶","2016-09-27 22:19:35",NA,NA,"TRUE","FALSE","10","0","FALSE",0
"138","Jeffrey Tambor said,""I would not be unhappy were I the last cisgender male to play a female transgender on televisi‚Ä¶ https://t.co/27kaZKTMEj","2016-09-27 22:20:56",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"139","The real human cost of Republicans targeting transgender kids https://t.co/Qs1wHD4LyJ","2016-09-27 21:24:55",NA,NA,"FALSE","FALSE","2","0","FALSE",0
"140","@admiraljello @CeruleanSnidget @ryorin yeah I've had a couple transgender friends be asked that (by well meaning people),","2016-09-27 22:15:18",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"141","How many more crimes needs to be committed before this policy is axed?
https://t.co/KN6zVFCMFS #CounterCultureMom https://t.co/EbjnVgvZvA","2016-09-27 20:33:05",NA,NA,"FALSE","FALSE","0","0","FALSE",0
